nome,senha,caracterizacao,atividades,habitos,conquistas
Luiz Pereira,123456,"[32, 'Male', 5, 1.0, 2.0, 6.0, 4.0, 2.0, 8.0, 4.0, 7.0, 10.0, 4.0, 8.0, 2.0, 10.0]","['Luiz Pereira - criou conta', 'Luiz Pereira - adiquiriu o habito dormir cedo', 'Luiz Pereira - adiquiriu o habito atividade fisica', 'Luiz Pereira - fez previsao com RandomForest', 'Luiz Pereira - adiquiriu o habito dormir cedo', 'Luiz Pereira - adiquiriu o habito atividade fisica', 'Luiz Pereira - adiquiriu o habito leitura', 'Luiz Pereira - adiquiriu o habito meditacao']","['dormir cedo', 'atividade fisica', 'leitura', 'meditacao']",[]
Ana,maycon,"[16, 'Female', 2, 2.0, 10.0, 7.0, 7.0, 9.0, 2.0, 7.0, 3.0, 9.0, 6.0, 9.0, 1.0, 10.0]","['Ana - criou conta', 'Ana - adiquiriu o habito dormir cedo', 'Ana - adiquiriu o habito atividade fisica', 'Ana - adiquiriu o habito leitura', 'Ana - adiquiriu o habito dormir cedo', 'Ana - obteve a conquista Melhores Habitos', 'Ana - adiquiriu o habito leitura', 'Ana - obteve a conquista Melhores Habitos', 'Ana - adiquiriu o habito meditacao', 'Ana - obteve a conquista Melhores Habitos', 'Ana - fez previsao com RandomForest', 'Ana - obteve a conquista Usuario de IA', 'Ana - adiquiriu o habito dormir cedo', 'Ana - obteve a conquista Melhores Habitos', 'Ana - adiquiriu o habito atividade fisica', 'Ana - obteve a conquista Melhores Habitos', 'Ana - adiquiriu o habito leitura', 'Ana - obteve a conquista Melhores Habitos', 'Ana - adiquiriu o habito meditacao', 'Ana - obteve a conquista Melhores Habitos', 'Ana - fez previsao com RandomForest', 'Ana - obteve a conquista Usuario de IA', 'Ana - fez previsao com RandomForest', 'Ana - obteve a conquista Usuario de IA', 'Ana - adiquiriu o habito dormir cedo', 'Ana - obteve a conquista Melhores Habitos', 'Ana - adiquiriu o habito atividade fisica', 'Ana - obteve a conquista Melhores Habitos', 'Ana - adiquiriu o habito leitura', 'Ana - obteve a conquista Melhores Habitos', 'Ana - fez previsao com RandomForest', 'Ana - obteve a conquista Usuario de IA', 'Ana - adiquiriu o habito dormir cedo', 'Ana - obteve a conquista Melhores Habitos', 'Ana - adiquiriu o habito atividade fisica', 'Ana - obteve a conquista Melhores Habitos', 'Ana - adiquiriu o habito leitura', 'Ana - obteve a conquista Melhores Habitos', 'Ana - adiquiriu o habito meditacao', 'Ana - obteve a conquista Melhores Habitos', 'Ana - fez previsao com RandomForest', 'Ana - obteve a conquista Usuario de IA']","['dormir cedo', 'atividade fisica', 'leitura', 'meditacao']","['Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Usuario de IA', 'Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Usuario de IA', 'Usuario de IA', 'Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Usuario de IA', 'Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Usuario de IA']"
andre,67,"[16, 'Male', 2, 1.5, 7.0, 7.0, 5.0, 3.0, 0.0, 7.0, 6.0, 8.0, 6.0, 6.0, 4.0, 8.0]","['andre - criou conta', 'andre - adiquiriu o habito atividade fisica', 'andre - adiquiriu o habito leitura', 'andre - fez previsao com RandomForest', 'andre - adiquiriu o habito atividade fisica', 'andre - adiquiriu o habito leitura', 'andre - adiquiriu o habito meditacao']","['atividade fisica', 'leitura', 'meditacao']",[]
diana,diafeliz,"[12, 'Female', 3, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 9.0, 8.0, 7.0, 6.0, 5.0, 4.0]","['diana - criou conta', 'diana - adiquiriu o habito dormir cedo', 'diana - obteve a conquista Melhores Habitos', 'diana - adiquiriu o habito atividade fisica', 'diana - obteve a conquista Melhores Habitos', 'diana - adiquiriu o habito leitura', 'diana - obteve a conquista Melhores Habitos', 'diana - adiquiriu o habito meditacao', 'diana - obteve a conquista Melhores Habitos', 'diana - adiquiriu o habito dormir cedo', 'diana - obteve a conquista Melhores Habitos', 'diana - adiquiriu o habito meditacao', 'diana - obteve a conquista Melhores Habitos', 'diana - fez previsao com RandomForest', 'diana - obteve a conquista Usuario de IA', 'diana - atualizou a caracterizacao', 'diana - obteve a conquista Voce mudou']","['dormir cedo', 'meditacao']","['Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Usuario de IA', 'Voce mudou']"
mirela,87654321,"[1, 'Female', 1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",['mirela - criou conta'],[],[]
maysa,maysaaa,"[22, 'Female', 2, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",['maysa - criou conta'],[],[]
maysa,123,"[33, 'Female', 3, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","['maysa - criou conta', 'maysa - adiquiriu o habito dormir cedo', 'maysa - obteve a conquista Melhores Habitos', 'maysa - adiquiriu o habito atividade fisica', 'maysa - obteve a conquista Melhores Habitos']","['dormir cedo', 'atividade fisica']","['Melhores Habitos', 'Melhores Habitos']"
laylla,3333,"[44, 'Female', 4, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 6.0, 4.0, 4.0, 4.0]","['laylla - criou conta', 'laylla - adiquiriu o habito dormir cedo', 'laylla - obteve a conquista Melhores Habitos', 'laylla - adiquiriu o habito atividade fisica', 'laylla - obteve a conquista Melhores Habitos', 'laylla - atualizou a caracterizacao', 'laylla - obteve a conquista Voce mudou', 'laylla - fez previsao com RandomForest', 'laylla - obteve a conquista Usuario de IA']","['dormir cedo', 'atividade fisica']","['Melhores Habitos', 'Melhores Habitos', 'Voce mudou', 'Usuario de IA']"
maria,mariazinha,"[99, 'Female', 2, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","['maria - criou conta', 'maria - adiquiriu o habito dormir cedo', 'maria - obteve a conquista Melhores Habitos', 'maria - adiquiriu o habito atividade fisica', 'maria - obteve a conquista Melhores Habitos', 'maria - fez previsao com RandomForest', 'maria - obteve a conquista Usuario de IA', 'maria - adiquiriu o habito dormir cedo', 'maria - obteve a conquista Melhores Habitos', 'maria - adiquiriu o habito atividade fisica', 'maria - obteve a conquista Melhores Habitos', 'maria - adiquiriu o habito leitura', 'maria - obteve a conquista Melhores Habitos', 'maria - adiquiriu o habito meditacao', 'maria - obteve a conquista Melhores Habitos', 'maria - atualizou a caracterizacao', 'maria - obteve a conquista Voce mudou']","['dormir cedo', 'atividade fisica', 'leitura', 'meditacao']","['Melhores Habitos', 'Melhores Habitos', 'Usuario de IA', 'Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Melhores Habitos', 'Voce mudou']"
shaolin,porco,"[55, '5', 5, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","['shaolin - criou conta', 'shaolin - adiquiriu o habito dormir cedo', 'shaolin - obteve a conquista Melhores Habitos', 'shaolin - adiquiriu o habito atividade fisica', 'shaolin - obteve a conquista Melhores Habitos']","['dormir cedo', 'atividade fisica']","['Melhores Habitos', 'Melhores Habitos']"
